,Date,Volume tag,File number
0,01.01.2023 00:00,SX6124L6,6
1,02.01.2023 00:00,SX6124L6,28
2,03.01.2023 00:00,SX6124L6,50
3,04.01.2023 00:00,SX6136L6,6
4,05.01.2023 00:00,SX6136L6,27
5,06.01.2023 00:00,SX6136L6,49
6,07.01.2023 00:00,SX6137L6,6
7,08.01.2023 00:00,SX6137L6,27
8,09.01.2023 00:00,SX6137L6,49
9,10.01.2023 00:00,SX6138L6,6
10,11.01.2023 00:00,SX6138L6,27
11,12.01.2023 00:00,SX6138L6,49
12,13.01.2023 00:00,SX6139L6,6
13,14.01.2023 00:00,SX6139L6,28
14,15.01.2023 00:00,SX6139L6,49
15,16.01.2023 00:00,SX6061L6,6
16,17.01.2023 00:00,SX6061L6,28
17,18.01.2023 00:00,SX6061L6,50
18,19.01.2023 00:00,SX6062L6,6
19,20.01.2023 00:00,SX6062L6,27
20,21.01.2023 00:00,SX6062L6,47
21,22.01.2023 00:00,SX6071L6,4
22,23.01.2023 00:00,SX6071L6,26
23,24.01.2023 00:00,SX6071L6,48
24,25.01.2023 00:00,SX6072L6,3
25,26.01.2023 00:00,SX6072L6,25
26,27.01.2023 00:00,SX6072L6,46
27,28.01.2023 00:00,SX6130L6,0
28,29.01.2023 00:00,SX6130L6,21
29,30.01.2023 00:00,SX6130L6,42
30,31.01.2023 00:00,SX6130L6,64
31,01.02.2023 00:00,SX6131L6,18
32,02.02.2023 00:00,SX6131L6,39
33,03.02.2023 00:00,SX6131L6,60
34,04.02.2023 00:00,SX6133L6,14
35,05.02.2023 00:00,SX6133L6,35
36,06.02.2023 00:00,SX6133L6,57
37,07.02.2023 00:00,SX6134L6,14
38,08.02.2023 00:00,SX6134L6,34
39,09.02.2023 00:00,SX6134L6,54
40,10.02.2023 00:00,SX6125L6,9
41,11.02.2023 00:00,SX6125L6,31
42,12.02.2023 00:00,SX6125L6,53
43,13.02.2023 00:00,SX6126L6,6
44,14.02.2023 00:00,SX6126L6,28
45,15.02.2023 00:00,SX6126L6,50
46,16.02.2023 00:00,SX6128L6,6
47,17.02.2023 00:00,SX6128L6,28
48,18.02.2023 00:00,SX6128L6,49
49,19.02.2023 00:00,SX6129L6,6
50,20.02.2023 00:00,SX6129L6,27
51,21.02.2023 00:00,SX6129L6,48
52,22.02.2023 00:00,SX6093L6,4
53,23.02.2023 00:00,SX6093L6,25
54,24.02.2023 00:00,SX6093L6,46
55,25.02.2023 00:00,SX6094L6,2
56,26.02.2023 00:00,SX6094L6,23
57,27.02.2023 00:00,SX6094L6,44
58,28.02.2023 00:00,SX6085L6,0
59,01.03.2023 00:00,SX6085L6,22
60,02.03.2023 00:00,SX6085L6,44
61,03.03.2023 00:00,SX6086L6,0
62,04.03.2023 00:00,SX6086L6,22
63,05.03.2023 00:00,SX6086L6,44
64,06.03.2023 00:00,SX6088L6,0
65,07.03.2023 00:00,SX6088L6,21
66,08.03.2023 00:00,SX6088L6,43
67,09.03.2023 00:00,SX6088L6,65
68,10.03.2023 00:00,SX6089L6,20
69,11.03.2023 00:00,SX6089L6,42
70,12.03.2023 00:00,SX6089L6,63
71,13.03.2023 00:00,SX6080L6,18
72,14.03.2023 00:00,SX6080L6,39
73,15.03.2023 00:00,SX6080L6,61
74,16.03.2023 00:00,SX6081L6,18
75,17.03.2023 00:00,SX6081L6,40
76,18.03.2023 00:00,SX6081L6,62
77,19.03.2023 00:00,SX6083L6,14
78,20.03.2023 00:00,SX6083L6,34
79,21.03.2023 00:00,SX6083L6,55
80,22.03.2023 00:00,SX6084L6,4
81,23.03.2023 00:00,SX6084L6,25
82,24.03.2023 00:00,SX6084L6,47
83,25.03.2023 00:00,SX6084L6,69
84,26.03.2023 00:00,SX6098L6,20
85,27.03.2023 00:00,SX6098L6,41
86,28.03.2023 00:00,SX6098L6,62
87,29.03.2023 00:00,SX6099L6,16
88,30.03.2023 00:00,SX6099L6,38
89,31.03.2023 00:00,SX6099L6,60
90,01.04.2023 00:00,SX6235L6,15
91,02.04.2023 00:00,SX6235L6,37
92,03.04.2023 00:00,SX6235L6,58
93,04.04.2023 00:00,SX6236L6,14
94,05.04.2023 00:00,SX6236L6,36
95,06.04.2023 00:00,SX6236L6,57
96,07.04.2023 00:00,SX6238L6,14
97,08.04.2023 00:00,SX6238L6,36
98,09.04.2023 00:00,SX6238L6,57
99,10.04.2023 00:00,SX6239L6,14
100,11.04.2023 00:00,SX6239L6,35
101,12.04.2023 00:00,SX6239L6,57
102,13.04.2023 00:00,SX6230L6,14
103,14.04.2023 00:00,SX6230L6,36
104,15.04.2023 00:00,SX6230L6,57
105,16.04.2023 00:00,SX6231L6,14
106,17.04.2023 00:00,SX6231L6,36
107,18.04.2023 00:00,SX6231L6,58
108,19.04.2023 00:00,SX6233L6,14
109,20.04.2023 00:00,SX6233L6,36
110,21.04.2023 00:00,SX6233L6,57
111,22.04.2023 00:00,SX6234L6,12
112,23.04.2023 00:00,SX6234L6,34
113,24.04.2023 00:00,SX6234L6,55
114,25.04.2023 00:00,SX6226L6,6
115,26.04.2023 00:00,SX6226L6,27
116,27.04.2023 00:00,SX6226L6,48
117,28.04.2023 00:00,SX6227L6,6
118,29.04.2023 00:00,SX6227L6,28
119,30.04.2023 00:00,SX6227L6,50
120,01.05.2023 00:00,SX6220L6,6
121,02.05.2023 00:00,SX6220L6,28
122,03.05.2023 00:00,SX6220L6,50
123,04.05.2023 00:00,SX6221L6,6
124,05.05.2023 00:00,SX6221L6,27
125,06.05.2023 00:00,SX6221L6,49
126,07.05.2023 00:00,SX6223L6,6
127,08.05.2023 00:00,SX6223L6,27
128,09.05.2023 00:00,SX6223L6,48
129,10.05.2023 00:00,SX6224L6,5
130,11.05.2023 00:00,SX6224L6,26
131,13.05.2023 00:00,SX6275L6,1
132,14.05.2023 00:00,SX6275L6,23
133,15.05.2023 00:00,SX6275L6,44
134,16.05.2023 00:00,SX6275L6,66
135,17.05.2023 00:00,SX6276L6,14
136,18.05.2023 00:00,SX6276L6,35
137,19.05.2023 00:00,SX6276L6,56
138,20.05.2023 00:00,SX6277L6,10
139,21.05.2023 00:00,SX6277L6,32
140,22.05.2023 00:00,SX6277L6,54
141,23.05.2023 00:00,SX6278L6,6
142,24.05.2023 00:00,SX6278L6,27
143,25.05.2023 00:00,SX6278L6,49
144,26.05.2023 00:00,SX6271L6,4
145,27.05.2023 00:00,SX6271L6,26
146,28.05.2023 00:00,SX6271L6,48
147,29.05.2023 00:00,SX6272L6,2
148,30.05.2023 00:00,SX6272L6,24
149,31.05.2023 00:00,SX6272L6,46
150,01.06.2023 00:00,SX6272L6,68
151,02.06.2023 00:00,SX6265L6,20
152,03.06.2023 00:00,SX6265L6,42
153,04.06.2023 00:00,SX6265L6,64
154,05.06.2023 00:00,SX6266L6,18
155,06.06.2023 00:00,SX6266L6,40
156,07.06.2023 00:00,SX6266L6,62
157,08.06.2023 00:00,SX6268L6,16
158,09.06.2023 00:00,SX6268L6,38
159,10.06.2023 00:00,SX6268L6,60
160,11.06.2023 00:00,SX6269L6,14
161,12.06.2023 00:00,SX6269L6,36
162,13.06.2023 00:00,SX6269L6,58
163,14.06.2023 00:00,SX6260L6,14
164,15.06.2023 00:00,SX6260L6,36
165,16.06.2023 00:00,SX6260L6,58
166,17.06.2023 00:00,SX6261L6,14
167,18.06.2023 00:00,SX6261L6,36
